sku,name,price,category,short,description,etsyUrl,etsyListingId,images,featured
,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-032)",11.50,Tools,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-032)","Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-032)",https://www.etsy.com/listing/4555776478,4555776478,,false
,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-031)",11.50,Tools,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-031)","Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-031)",https://www.etsy.com/listing/4555776116,4555776116,,false
,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-030)",11.50,Tools,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-030)","Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-030)",https://www.etsy.com/listing/4555764877,4555764877,,false
,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-029)",11.50,Tools,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-029)","Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-029)",https://www.etsy.com/listing/4555775492,4555775492,,false
,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-028)",11.50,Tools,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-028)","Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-028)",https://www.etsy.com/listing/4555764075,4555764075,,false
,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-027)",11.50,Tools,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-027)","Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-027)",https://www.etsy.com/listing/4555763653,4555763653,,false
,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-026)",11.50,Tools,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-026)","Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-026)",https://www.etsy.com/listing/4555763201,4555763201,,false
,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-025)",11.50,Tools,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-025)","Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-025)",https://www.etsy.com/listing/4555762875,4555762875,,false
,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-024)",11.50,Tools,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-024)","Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-024)",https://www.etsy.com/listing/4555762503,4555762503,,false
,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-013)",11.50,Tools,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-013)","Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-013)",https://www.etsy.com/listing/4555762119,4555762119,,false
,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-023)",11.50,Tools,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-023)","Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-023)",https://www.etsy.com/listing/4555160618,4555160618,,false
,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-022)",11.50,Tools,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-022)","Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-022)",https://www.etsy.com/listing/4555160110,4555160110,,false
,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-021)",11.50,Tools,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-021)","Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-021)",https://www.etsy.com/listing/4555146997,4555146997,,false
,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-002)",11.50,Tools,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-002)","Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-002)",https://www.etsy.com/listing/4555158994,4555158994,,false
,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-012)",11.50,Tools,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-012)","Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-012)",https://www.etsy.com/listing/4554581875,4554581875,,false
,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-004)",11.50,Tools,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-004)","Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-004)",https://www.etsy.com/listing/4444493753,4444493753,,false
,"Pottery Rib & Rim Shaper Tool (Small)",13.50,Tools,"Pottery Rib & Rim Shaper Tool (Small)","Pottery Rib & Rim Shaper Tool (Small)",https://www.etsy.com/listing/4435653526,4435653526,,false
,"Pottery Rib & Rim Shaper Tool (Large)",14.50,Tools,"Pottery Rib & Rim Shaper Tool (Large)","Pottery Rib & Rim Shaper Tool (Large)",https://www.etsy.com/listing/4534000777,4534000777,,false
,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-005)",11.50,Tools,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-005)","Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-005)",https://www.etsy.com/listing/4444510659,4444510659,,false
,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-008)",11.50,Tools,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-008)","Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-008)",https://www.etsy.com/listing/4445601911,4445601911,,false
,"by3DXYZ Griptonite Guitar Picks – 50-Pack, Multiple Sizes, 3D Printed, 351 Style",14.99,Tools,"by3DXYZ Griptonite Guitar Picks – 50-Pack, Multiple Sizes, 3D Printed, 351 Style","by3DXYZ Griptonite Guitar Picks – 50-Pack, Multiple Sizes, 3D Printed, 351 Style",https://www.etsy.com/listing/4438113690,4438113690,,false
,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-006)",11.50,Tools,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-006)","Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-006)",https://www.etsy.com/listing/4444955862,4444955862,,false
,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-018)",11.50,Tools,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-018)","Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-018)",https://www.etsy.com/listing/4456735938,4456735938,,false
,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-015)",11.50,Tools,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-015)","Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-015)",https://www.etsy.com/listing/4452450542,4452450542,,false
,"by3DXYZ Plain Jane Guitar Picks – 50-Pack, Multiple Sizes, 3D Printed, 351 Style",14.99,Tools,"by3DXYZ Plain Jane Guitar Picks – 50-Pack, Multiple Sizes, 3D Printed, 351 Style","by3DXYZ Plain Jane Guitar Picks – 50-Pack, Multiple Sizes, 3D Printed, 351 Style",https://www.etsy.com/listing/4438111095,4438111095,,false
,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-010)",11.50,Tools,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-010)","Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-010)",https://www.etsy.com/listing/4447832054,4447832054,,false
,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-017)",11.50,Tools,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-017)","Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-017)",https://www.etsy.com/listing/4452445419,4452445419,,false
,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-009)",11.50,Tools,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-009)","Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-009)",https://www.etsy.com/listing/4447827517,4447827517,,false
,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-011)",11.50,Tools,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-011)","Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-011)",https://www.etsy.com/listing/4449940130,4449940130,,false
,"Smooth Surface Paddle",12.50,Tools,"Smooth Surface Paddle","Smooth Surface Paddle",https://www.etsy.com/listing/4458615968,4458615968,,false
,"Hole Punch Paddle",12.50,Tools,"Hole Punch Paddle","Hole Punch Paddle",https://www.etsy.com/listing/4458617218,4458617218,,false
,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-016)",11.50,Tools,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-016)","Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-016)",https://www.etsy.com/listing/4452450816,4452450816,,false
,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-014)",11.50,Tools,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-014)","Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-014)",https://www.etsy.com/listing/4451384524,4451384524,,false
,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-007)",11.50,Tools,"Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-007)","Pottery Throwing Rib - Ceramic Clay Shaping Tool - Multiple Sizes - Handmade in USA | 4/5/6in (BO-007)",https://www.etsy.com/listing/4445607076,4445607076,,false
